2016-12-19 23:05:17,110 INFO  context.ContextLoader - Root WebApplicationContext: initialization started
2016-12-19 23:05:17,229 INFO  support.XmlWebApplicationContext - Refreshing Root WebApplicationContext: startup date [Mon Dec 19 23:05:17 CST 2016]; root of context hierarchy
2016-12-19 23:05:17,304 INFO  xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [applicationContext.xml]
2016-12-19 23:05:17,437 INFO  annotation.ClassPathBeanDefinitionScanner - JSR-250 'javax.annotation.ManagedBean' found and supported for component scanning
2016-12-19 23:05:17,504 INFO  annotation.ClassPathBeanDefinitionScanner - JSR-250 'javax.annotation.ManagedBean' found and supported for component scanning
2016-12-19 23:05:17,722 INFO  support.DefaultListableBeanFactory - Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@2505084e: defining beans [loginLogDao,userDao,org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,userService,dataSource,jdbcTemplate,transactionManager,org.springframework.aop.config.internalAutoProxyCreator,serviceMethod,org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0,txAdvice,org.springframework.context.annotation.ConfigurationClassPostProcessor.importAwareProcessor]; root of factory hierarchy
2016-12-19 23:05:18,240 INFO  context.ContextLoader - Root WebApplicationContext: initialization completed in 1130 ms
2016-12-19 23:05:18,260 INFO  servlet.DispatcherServlet - FrameworkServlet 'baobaotao': initialization started
2016-12-19 23:05:18,265 INFO  support.XmlWebApplicationContext - Refreshing WebApplicationContext for namespace 'baobaotao-servlet': startup date [Mon Dec 19 23:05:18 CST 2016]; parent: Root WebApplicationContext
2016-12-19 23:05:18,266 INFO  xml.XmlBeanDefinitionReader - Loading XML bean definitions from ServletContext resource [/WEB-INF/baobaotao-servlet.xml]
2016-12-19 23:05:18,302 INFO  annotation.ClassPathBeanDefinitionScanner - JSR-250 'javax.annotation.ManagedBean' found and supported for component scanning
